id,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count
4841358,16,8,1,16,366,1,490,1,1125,14,20,50,291,94,14
4841688,6,1.5,3,3,2437,2,457,2,1000,24,54,76,166,68,3
4843070,2,1,1,2,944,1,0,1,30,14,44,74,74,73,1
4844292,3,1,1,2,1188,1,250,7,180,0,26,54,213,50,1
4845099,9,3,3,8,14012,9,500,1,1125,29,59,89,364,9,2
4848637,2,1,1,2,1401,1,0,1,1125,24,47,49,49,11,15
4848935,2,1,1,2,1675,1,0,2,365,30,60,90,365,3,14
4850353,2,1,1,1,1158,2,800,1,365,30,60,84,169,1,8
4851427,2,1,1,1,1493,1,0,2,1125,26,56,86,174,47,2
4851830,2,1,1,1,1677,1,0,1,1125,5,13,33,109,276,9
4853890,6,2,1,6,5392,6,600,2,1125,30,60,82,349,90,15
4858056,4,1,1,2,1614,1,0,2,365,25,50,77,347,32,1
4862570,3,1,1,1,884,2,500,3,365,14,29,52,53,82,19
4863470,4,1,1,2,3686,1,0,1,1125,15,30,32,32,11,15
4865144,2,1,1,2,610,1,500,2,1125,30,60,90,181,16,4
4869415,3,1,1,1,1371,1,305,3,365,7,7,31,121,13,2
4869891,2,1,1,1,701,1,0,1,10,0,0,0,0,9,1
4871371,7,1,3,3,4234,6,457,2,60,3,16,25,271,88,3
4878650,2,1,1,1,1036,2,200,2,1125,29,59,81,348,50,15
4880576,2,1,1,1,914,2,200,2,1125,21,46,67,334,78,15
4883258,2,1,1,1,1494,3,500,1,1125,2,10,21,172,135,4
4890403,4,1,1,4,2406,1,0,1,1125,28,47,49,49,11,15
4892170,2,1,1,1,609,1,0,25,1125,30,60,81,353,1,8
4892210,3,1,1,3,640,1,650,1,1125,30,60,62,62,22,15
4892246,1,1,1,1,1310,1,0,1,1125,2,17,18,18,11,15
4894194,3,1,0,2,1310,2,300,1,1125,22,52,79,347,173,9
4894283,2,1,1,1,2985,1,0,1,1125,12,33,35,35,5,15
4894357,5,1,2,4,3198,5,500,2,1125,10,24,39,298,140,2
4897320,2,1,1,1,1097,1,600,1,333,24,54,84,359,7,3
4900301,2,1,1,1,1218,2,0,1,90,19,49,71,71,111,18
4900477,2,1,1,1,1218,2,0,1,90,20,46,68,68,102,18
4900594,5,1,1,3,1828,3,366,2,90,15,32,54,54,100,18
4901989,4,1,2,3,2989,3,0,1,1125,0,0,0,0,116,1
4905828,5,1,2,4,2802,2,0,1,1125,30,60,83,353,3,8
4912003,3,1,1,3,1950,1,0,1,1125,13,34,36,36,7,15
4917148,4,1,1,2,1493,2,457,1,1125,30,60,90,364,4,3
4919109,2,1,1,1,2013,1,0,1,1125,0,0,0,0,0,1
4920514,4,2,2,2,2894,1,0,1,90,5,16,32,119,20,2
